# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/LST_1590-4


# characters 0x00-0x7f as in code page 437


0x80	0x20ac              	#EURO SIGN
0xd5	0x00d5              	#LATIN CAPITAL LETTER O WITH TILDE
0xd6	0x00d6              	#LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x0168              	#LATIN CAPITAL LETTER U WITH TILDE
0xd8	0x0172              	#LATIN CAPITAL LETTER U WITH OGONEK
0xd9	0x00d9              	#LATIN CAPITAL LETTER U WITH GRAVE
0xda	0x00da              	#LATIN CAPITAL LETTER U WITH ACUTE
0xdb	0x016a              	#LATIN CAPITAL LETTER U WITH MACRON
0xdc	0x00dc              	#LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x1ef8              	#LATIN CAPITAL LETTER Y WITH TILDE
0xde	0x017d              	#LATIN CAPITAL LETTER Z WITH CARON
0xdf	0x00df              	#LATIN SMALL LETTER SHARP S
0xe0	0x0105              	#LATIN SMALL LETTER A WITH OGONEK
0xe1	0x012f              	#LATIN SMALL LETTER I WITH OGONEK
0xe2	0x00e0              	#LATIN SMALL LETTER A WITH GRAVE
0xe3	0x00e1              	#LATIN SMALL LETTER A WITH ACUTE
0xe4	0x00e4              	#LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x00e3              	#LATIN SMALL LETTER A WITH TILDE
0xe6	0x0119              	#LATIN SMALL LETTER E WITH OGONEK
0xe7	0x0105 0x0301       	#LATIN SMALL LETTER A WITH OGONEK, COMBINING ACUTE ACCENT
0xe8	0x010d              	#LATIN SMALL LETTER C WITH CARON
0xe9	0x00e9              	#LATIN SMALL LETTER E WITH ACUTE
0xea	0x00e8              	#LATIN SMALL LETTER E WITH GRAVE
0xeb	0x0117              	#LATIN SMALL LETTER E WITH DOT ABOVE
0xec	0x1ebd              	#LATIN SMALL LETTER E WITH TILDE
0xed	0x0069 0x0307 0x0300	#LATIN SMALL LETTER I, COMBINING DOT ABOVE, COMBINING GRAVE ACCENT
0xee	0x0069 0x0307 0x0301	#LATIN SMALL LETTER I, COMBINING DOT ABOVE, COMBINING ACUTE ACCENT
